
-----------------------------------------------------------
benchmark results:
Execution time (sec)
name	v1	v2
vm1_gc_short_with_symbol*	1.031
vm1_gc_wb_ary*	0.925
vm1_gc_wb_ary_promoted*	0.995
vm1_gc_wb_obj*	0.994
vm1_gc_wb_obj_promoted*	0.948
vm1_ivar*	0.968
vm1_ivar_set*	0.931
vm1_length*	0.981
vm1_lvar_init*	1.261
vm1_lvar_set*	1.005
vm1_neq*	0.983
vm1_not*	1.263
vm1_rescue*	1.009
vm1_simplereturn*	0.885
vm1_swap*	0.772
vm1_yield*	0.994
vm2_array*	0.888
vm2_bigarray*	0.973
vm2_bighash*	0.276
vm2_case*	0.964
vm2_case_lit*	0.724
vm2_defined_method*	0.997
vm2_dstr*	0.991
vm2_eval*	0.914
vm2_fiber_switch*	0.995
vm2_method*	0.985
vm2_method_missing*	0.997
vm2_method_with_block*	1.009
vm2_module_ann_const_set*	0.943
vm2_module_const_set*	0.578
vm2_mutex*	0.986
vm2_newlambda*	0.966
vm2_poly_method*	0.989
vm2_poly_method_ov*	1.009
vm2_poly_singleton*	0.995
vm2_proc*	0.940
vm2_raise1*	0.941
vm2_raise2*	0.973
vm2_regexp*	1.011
vm2_send*	1.028
vm2_string_literal*	0.970
vm2_struct_big_aref_hi*	1.021
vm2_struct_big_aref_lo*	1.016
vm2_struct_big_aset*	1.038
vm2_struct_big_href_hi*	0.994
vm2_struct_big_href_lo*	0.993
vm2_struct_big_hset*	0.961
vm2_struct_small_aref*	0.980
vm2_struct_small_aset*	1.016
vm2_struct_small_href*	0.947
vm2_struct_small_hset*	1.012
vm2_super*	1.077
vm2_unif1*	0.955
vm2_zsuper*	0.975
vm3_backtrace	0.987
vm3_clearmethodcache	0.678
vm3_gc	0.969
vm3_gc_old_full	0.994
vm3_gc_old_immediate	1.030
vm3_gc_old_lazy	1.021
vm_symbol_block_pass	0.958
vm_thread_alive_check1	0.902
vm_thread_close	0.966
vm_thread_condvar1	0.990
vm_thread_condvar2	0.960
vm_thread_create_join	0.899
vm_thread_mutex1	0.963
vm_thread_mutex2	0.991
vm_thread_mutex3	0.937
vm_thread_pass	1.793
vm_thread_pass_flood	0.930
vm_thread_pipe	0.917
vm_thread_queue	0.962
vm_thread_sized_queue	0.920
vm_thread_sized_queue2	1.007
vm_thread_sized_queue3	0.998
vm_thread_sized_queue4	0.941

Log file: bmlog-20180701-152738.21712.tsv
